bundesland,jahr,ferien_typ,start,ende
HH,2024,herbstferien hamburg 2024,2024-10-21,2024-11-01
HH,2024,weihnachtsferien hamburg 2024,2024-12-20,2025-01-03
HH,2025,winterferien hamburg 2025,2025-01-31,2025-01-31
HH,2025,osterferien hamburg 2025,2025-03-10,2025-03-21
HH,2025,pfingstferien hamburg 2025,2025-05-02,2025-05-02
HH,2025,pfingstferien hamburg 2025 (beweglicher ferientag),2025-05-26,2025-05-30
HH,2025,sommerferien hamburg 2025,2025-07-24,2025-09-03
HH,2025,herbstferien hamburg 2025,2025-10-20,2025-10-31
HH,2025,weihnachtsferien hamburg 2025,2025-12-17,2026-01-02
HE,2017,osterferien hessen 2017,2017-04-03,2017-04-13
HE,2017,sommerferien hessen 2017,2017-07-03,2017-08-11
HE,2017,herbstferien hessen 2017,2017-10-09,2017-10-20
HE,2017,weihnachtsferien hessen 2017,2017-12-27,2018-01-12
HE,2018,osterferien hessen 2018,2018-03-26,2018-04-06
HE,2018,sommerferien hessen 2018,2018-06-25,2018-08-03
HE,2018,herbstferien hessen 2018,2018-10-01,2018-10-12
HE,2018,weihnachtsferien hessen 2018,2018-12-24,2019-01-11
HE,2019,osterferien hessen 2019,2019-04-15,2019-04-27
HE,2019,sommerferien hessen 2019,2019-07-01,2019-08-09
HE,2019,herbstferien hessen 2019,2019-09-30,2019-10-12
HE,2019,weihnachtsferien hessen 2019,2019-12-23,2020-01-11
HE,2020,osterferien hessen 2020,2020-04-06,2020-04-18
HE,2020,sommerferien hessen 2020,2020-07-06,2020-08-14
HE,2020,herbstferien hessen 2020,2020-10-05,2020-10-17
HE,2020,weihnachtsferien hessen 2020,2020-12-21,2021-01-09
HE,2021,osterferien hessen 2021,2021-04-06,2021-04-16
HE,2021,sommerferien hessen 2021,2021-07-19,2021-08-27
HE,2021,herbstferien hessen 2021,2021-10-11,2021-10-23
HE,2021,weihnachtsferien hessen 2021,2021-12-23,2022-01-08
HE,2022,osterferien hessen 2022,2022-04-11,2022-04-23
HE,2022,sommerferien hessen 2022,2022-07-25,2022-09-02
HE,2022,herbstferien hessen 2022,2022-10-24,2022-10-29
HE,2022,weihnachtsferien hessen 2022,2022-12-22,2023-01-07
HE,2023,osterferien hessen 2023,2023-04-03,2023-04-22
HE,2023,sommerferien hessen 2023,2023-07-24,2023-09-01
HE,2023,herbstferien hessen 2023,2023-10-23,2023-10-28
HE,2023,weihnachtsferien hessen 2023,2023-12-27,2024-01-13
HE,2024,osterferien hessen 2024,2024-03-25,2024-04-13
HE,2024,sommerferien hessen 2024,2024-07-15,2024-08-24
HE,2024,herbstferien hessen 2024,2024-10-14,2024-10-26
HE,2024,weihnachtsferien hessen 2024,2024-12-23,2025-01-11
HE,2025,osterferien hessen 2025,2025-04-07,2025-04-21
HE,2025,sommerferien hessen 2025,2025-07-07,2025-08-15
HE,2025,herbstferien hessen 2025,2025-10-06,2025-10-18
HE,2025,weihnachtsferien hessen 2025,2025-12-22,2026-01-10
HE,2026,osterferien hessen 2026,2026-03-30,2026-04-10
HE,2026,sommerferien hessen 2026,2026-06-29,2026-08-07
HE,2026,herbstferien hessen 2026,2026-10-05,2026-10-17
HE,2026,weihnachtsferien hessen 2026,2026-12-23,2027-01-12
MV,2019,winterferien mecklenburg-vorpommern 2019,2019-02-04,2019-02-15
MV,2019,osterferien mecklenburg-vorpommern 2019,2019-04-15,2019-04-24
MV,2019,pfingstferien mecklenburg-vorpommern 2019 (beweglicher ferientag),2019-05-31,2019-06-11
MV,2019,sommerferien mecklenburg-vorpommern 2019,2019-07-01,2019-08-10
MV,2019,herbstferien mecklenburg-vorpommern 2019,2019-10-04,2019-10-12
MV,2019,weihnachtsferien mecklenburg-vorpommern 2019,2019-12-23,2020-01-04
MV,2020,winterferien mecklenburg-vorpommern 2020,2020-02-10,2020-02-21
MV,2020,osterferien mecklenburg-vorpommern 2020,2020-04-06,2020-04-15
MV,2020,pfingstferien mecklenburg-vorpommern 2020 (beweglicher ferientag),2020-05-22,2020-05-22
MV,2020,pfingstferien mecklenburg-vorpommern 2020,2020-05-29,2020-06-02
MV,2020,sommerferien mecklenburg-vorpommern 2020,2020-06-22,2020-08-01
MV,2020,herbstferien mecklenburg-vorpommern 2020,2020-10-05,2020-10-10
MV,2020,herbstferien mecklenburg-vorpommern 2020 (beweglicher ferientag),2020-11-02,2020-11-02
MV,2020,weihnachtsferien mecklenburg-vorpommern 2020,2020-12-21,2021-01-02
MV,2021,winterferien mecklenburg-vorpommern 2021,2021-02-06,2021-02-18
MV,2021,winterferien mecklenburg-vorpommern 2021 (beweglicher ferientag),2021-02-19,2021-02-19
MV,2021,osterferien mecklenburg-vorpommern 2021,2021-03-29,2021-04-07
MV,2021,pfingstferien mecklenburg-vorpommern 2021 (beweglicher ferientag),2021-05-14,2021-05-14
MV,2021,pfingstferien mecklenburg-vorpommern 2021,2021-05-21,2021-05-25
MV,2021,sommerferien mecklenburg-vorpommern 2021,2021-06-21,2021-07-31
MV,2021,herbstferien mecklenburg-vorpommern 2021,2021-10-02,2021-10-09
MV,2021,herbstferien mecklenburg-vorpommern 2021 (beweglicher ferientag),2021-11-01,2021-11-01
MV,2021,weihnachtsferien mecklenburg-vorpommern 2021,2021-12-22,2021-12-31
MV,2022,winterferien mecklenburg-vorpommern 2022,2022-02-05,2022-02-17
MV,2022,osterferien mecklenburg-vorpommern 2022,2022-04-11,2022-04-20
MV,2022,pfingstferien mecklenburg-vorpommern 2022 (beweglicher ferientag),2022-05-27,2022-05-27
MV,2022,pfingstferien mecklenburg-vorpommern 2022,2022-06-03,2022-06-07
MV,2022,sommerferien mecklenburg-vorpommern 2022,2022-07-04,2022-08-13
MV,2022,herbstferien mecklenburg-vorpommern 2022,2022-10-10,2022-10-14
MV,2022,herbstferien mecklenburg-vorpommern 2022 (beweglicher ferientag),2022-11-01,2022-11-01
MV,2022,weihnachtsferien mecklenburg-vorpommern 2022,2022-12-22,2023-01-02
MV,2023,winterferien mecklenburg-vorpommern 2023,2023-02-06,2023-02-18
MV,2023,osterferien mecklenburg-vorpommern 2023,2023-04-03,2023-04-12
MV,2023,pfingstferien mecklenburg-vorpommern 2023 (beweglicher ferientag),2023-05-19,2023-05-19
MV,2023,pfingstferien mecklenburg-vorpommern 2023,2023-05-26,2023-05-30
MV,2023,sommerferien mecklenburg-vorpommern 2023,2023-07-17,2023-08-26
MV,2023,herbstferien mecklenburg-vorpommern 2023,2023-10-09,2023-10-14
MV,2023,herbstferien mecklenburg-vorpommern 2023 (beweglicher ferientag),2023-10-30,2023-10-30
MV,2023,weihnachtsferien mecklenburg-vorpommern 2023,2023-12-21,2024-01-03
MV,2024,winterferien mecklenburg-vorpommern 2024,2024-02-05,2024-02-16
MV,2024,osterferien mecklenburg-vorpommern 2024,2024-03-25,2024-04-03
MV,2024,pfingstferien mecklenburg-vorpommern 2024 (beweglicher ferientag),2024-05-10,2024-05-10
MV,2024,pfingstferien mecklenburg-vorpommern 2024,2024-05-17,2024-05-21
MV,2024,sommerferien mecklenburg-vorpommern 2024,2024-07-22,2024-08-31
MV,2024,herbstferien mecklenburg-vorpommern 2024 (beweglicher ferientag),2024-10-04,2024-10-04
MV,2024,herbstferien mecklenburg-vorpommern 2024,2024-10-21,2024-10-26
MV,2024,weihnachtsferien mecklenburg-vorpommern 2024,2024-12-23,2025-01-06
MV,2025,winterferien mecklenburg-vorpommern 2025,2025-02-03,2025-02-14
MV,2025,osterferien mecklenburg-vorpommern 2025,2025-04-14,2025-04-23
MV,2025,osterferien mecklenburg-vorpommern 2025 (beweglicher ferientag),2025-05-30,2025-05-30
MV,2025,pfingstferien mecklenburg-vorpommern 2025,2025-06-06,2025-06-10
MV,2025,sommerferien mecklenburg-vorpommern 2025,2025-07-28,2025-09-06
MV,2025,herbstferien mecklenburg-vorpommern 2025,2025-10-02,2025-10-02
MV,2025,herbstferien mecklenburg-vorpommern 2025 (beweglicher ferientag),2025-10-20,2025-10-25
MV,2025,weihnachtsferien mecklenburg-vorpommern 2025,2025-12-22,2026-01-05
NI,2019,winterferien niedersachsen 2019,2019-01-31,2019-02-01
NI,2019,osterferien niedersachsen 2021,2019-04-08,2019-04-23
NI,2019,pfingstferien niedersachsen 2019 (beweglicher ferientag),2019-05-31,2019-05-31
NI,2019,sommerferien niedersachsen 2019,2019-07-04,2019-08-14
NI,2019,herbstferien niedersachsen 2019,2019-10-04,2019-10-18
NI,2019,weihnachtsferien niedersachsen 2019,2019-12-23,2020-01-06
NI,2020,winterferien niedersachsen 2020,2020-02-03,2020-02-04
NI,2020,osterferien niedersachsen 2020,2020-03-30,2020-04-14
